	0	1
0	10135005	[]
1	10135005	[-0.1600390374660492, 0.08561777323484421, 0.022878065705299377, -0.07628787308931351, -0.01611866056919098, -0.06007032468914986, 0.024623731151223183, -0.06767391413450241, 0.19409030675888062, -0.07312796264886856, 0.17087577283382416, 0.054345905780792236, -0.22828151285648346, -0.09454198181629181, -0.009719153866171837, 0.10685732960700989, -0.09541328996419907, -0.11072950065135956, -0.07058090716600418, -0.055143993347883224, 0.005633139051496983, 0.020128624513745308, 0.059286538511514664, 0.05794723704457283, -0.10974162071943283, -0.31127211451530457, -0.09748204797506332, -0.09175954014062881, 0.05261509492993355, -0.05241908133029938, 0.0071955481544137, 0.001500996993854642, -0.15776453912258148, -0.05368361249566078, -0.00950620323419571, 0.09736444056034088, -0.11631446331739426, -0.02210787683725357, 0.2308398336172104, 0.08991234004497528, -0.12192854285240173, -0.07996126264333725, -0.04580612853169441, 0.32814329862594604, 0.17061847448349, 0.010860271751880646, 0.04972560331225395, -0.039005495607852936, 0.04086674749851227, -0.2852555811405182, 0.055660877376794815, 0.08612936735153198, 0.08262117207050323, 0.058328624814748764, 0.10887593775987625, -0.17946770787239075, 0.04721137136220932, 0.11086555570363998, -0.24596963822841644, 0.11410918831825256, -0.005217129830271006, -0.10515033453702927, -0.06558523327112198, -0.010915742255747318, 0.2827392816543579, 0.1679179072380066, -0.11623217165470123, -0.0954035073518753, 0.2535047233104706, -0.17114247381687164, 0.024383924901485443, 0.08120397478342056, -0.04893407225608826, -0.18478378653526306, -0.23202084004878998, 0.039271578192710876, 0.35170915722846985, 0.22346104681491852, -0.15234768390655518, -0.0101912347599864, -0.1124061793088913, 0.010422367602586746, 0.09378710389137268, 0.033929478377103806, -0.13230842351913452, 0.028105849400162697, -0.0953887552022934, -0.006042072549462318, 0.12506546080112457, 0.03617025166749954, -0.09089969843626022, 0.21286796033382416, 0.02973034605383873, 0.06093257665634155, 0.07927360385656357, -0.03638872504234314, -0.07876436412334442, -0.029482046142220497, -0.13788899779319763, -0.020419325679540634, 0.04034489393234253, -0.15952999889850616, 0.07022872567176819, 0.10396450012922287, -0.12108930200338364, 0.15556477010250092, 0.024086233228445053, -0.021980728954076767, -0.01686866581439972, 0.06954636424779892, -0.14292067289352417, -0.04732145741581917, 0.15352819859981537, -0.2552904188632965, 0.24910233914852142, 0.1882290095090866, 0.009663207456469536, 0.15361464023590088, 0.07368894666433334, 0.05739014595746994, -0.026586148887872696, -0.02580387517809868, -0.10146893560886383, -0.015107313171029091, 0.002297779079526663, -0.04406247287988663, 0.10723619908094406, 0.05868292599916458]
2	10135005	[-0.12433930486440659, 0.07589848339557648, 0.01241290383040905, -0.08107913285493851, -0.004073427524417639, -0.02914239466190338, -0.022829679772257805, -0.06867468357086182, 0.20765094459056854, -0.08817804604768753, 0.1785813421010971, 0.0383039154112339, -0.24106869101524353, -0.07736117392778397, -0.045863233506679535, 0.1067984476685524, -0.06515980511903763, -0.1236397922039032, -0.11913465708494186, -0.08233387023210526, -0.02652161382138729, 0.006879338063299656, 0.06521905958652496, -0.009647559374570847, -0.12956243753433228, -0.31990551948547363, -0.06955477595329285, -0.09043356031179428, 0.04765988886356354, -0.07811364531517029, -0.009338154457509518, -0.0341494157910347, -0.19569581747055054, -0.0653795599937439, 0.0006527546793222427, 0.0817110538482666, -0.0456133633852005, 0.0038680462166666985, 0.24349595606327057, 0.05999930948019028, -0.14082957804203033, -0.04958701133728027, -0.009907033294439316, 0.27053186297416687, 0.15908031165599823, 0.048572856932878494, 0.05760907754302025, -0.0892312079668045, 0.02802485227584839, -0.2449093461036682, 0.11139629781246185, 0.05977301299571991, 0.051689714193344116, 0.017652664333581924, 0.10070549696683884, -0.17184360325336456, -0.00805347878485918, 0.11247888207435608, -0.18188373744487762, 0.11568709462881088, 0.0575873926281929, -0.0901968777179718, -0.1401723027229309, -0.0073997220024466515, 0.29254692792892456, 0.1578090339899063, -0.10176219791173935, -0.1162450909614563, 0.2993931472301483, -0.1263550966978073, 0.03180631995201111, 0.03651363402605057, -0.01788175478577614, -0.1374700516462326, -0.23733428120613098, 0.06749333441257477, 0.3934357762336731, 0.18550007045269012, -0.16419434547424316, 0.039568930864334106, -0.1198955774307251, 0.021848995238542557, 0.08142736554145813, 0.012816151604056358, -0.14143818616867065, 0.05476862192153931, -0.06897398829460144, 0.033064208924770355, 0.14949077367782593, 0.052516065537929535, -0.07689573615789413, 0.15023477375507355, -0.002420106902718544, 0.054143812507390976, 0.08691804111003876, -0.0033467193134129047, -0.12654303014278412, -0.045397426933050156, -0.17106616497039795, -0.0501982644200325, 0.12673142552375793, -0.10189971327781677, 0.0936090350151062, 0.13151462376117706, -0.10976466536521912, 0.13260772824287415, -0.009101207368075848, -0.05923973023891449, 0.045899298042058945, 0.11486798524856567, -0.06892278790473938, -0.07491260021924973, 0.14733156561851501, -0.2203698754310608, 0.24282774329185486, 0.1381557285785675, 0.029375655576586723, 0.15032413601875305, 0.12309257686138153, 0.09270559996366501, 0.02593839168548584, 0.03780412673950195, -0.1541762351989746, -0.06344439834356308, -0.026271967217326164, -0.012102237902581692, 0.15922114253044128, 0.09598740935325623]
3	10135005	[-0.14696714282035828, 0.04568903148174286, 0.015680791810154915, -0.08066851645708084, -0.003449012991040945, -0.042837485671043396, -0.04049867019057274, -0.07944124191999435, 0.16897329688072205, -0.0962577685713768, 0.20260180532932281, 0.0193508081138134, -0.24499666690826416, -0.08060900866985321, -0.054030366241931915, 0.102016381919384, -0.07352586090564728, -0.09240025281906128, -0.11816759407520294, -0.08263672143220901, -0.03795890882611275, 0.023842180147767067, 0.07634130865335464, -0.000575648620724678, -0.12691903114318848, -0.3705560863018036, -0.07874288409948349, -0.06584181636571884, 0.017997318878769875, -0.05660484358668327, 0.021862056106328964, -0.010501093231141567, -0.20097936689853668, -0.049045734107494354, -0.005404702387750149, 0.10978327691555023, -0.04965880885720253, 0.028913119807839394, 0.22332678735256195, 0.08650780469179153, -0.15337516367435455, -0.048933543264865875, -0.030561262741684914, 0.3085487186908722, 0.14272716641426086, 0.09146091341972351, 0.03129129484295845, -0.08502304553985596, 0.017962006852030754, -0.2435751110315323, 0.1095535159111023, 0.06774923950433731, 0.04458359256386757, -0.03197619691491127, 0.09736105799674988, -0.14671668410301208, 0.007498402148485184, 0.10250202566385269, -0.20732419192790985, 0.08710405975580215, 0.0418742336332798, -0.0949045866727829, -0.12568232417106628, -0.0272432379424572, 0.28611111640930176, 0.15982459485530853, -0.09863878786563873, -0.10073959827423096, 0.3180731534957886, -0.12883682548999786, 0.03651543706655502, 0.04241941496729851, -0.017192868515849113, -0.17559900879859924, -0.2601761817932129, 0.06472159177064896, 0.38206300139427185, 0.17750714719295502, -0.1568467766046524, 0.0264184158295393, -0.09561581164598465, 0.01657041162252426, 0.11293075978755951, 0.020137302577495575, -0.12980255484580994, 0.046259209513664246, -0.07278834283351898, 0.03369691222906113, 0.13989892601966858, 0.0445760153234005, -0.09097547829151154, 0.1745898425579071, -0.00516112707555294, 0.04620189964771271, 0.09607334434986115, -0.013217528350651264, -0.12813585996627808, -0.012528806924819946, -0.18896102905273438, -0.03776111826300621, 0.1518450826406479, -0.08964665234088898, 0.09660452604293823, 0.11955608427524567, -0.11534509062767029, 0.14642950892448425, 0.00015794532373547554, -0.07207892835140228, 0.07708904147148132, 0.09533929824829102, -0.10330837219953537, -0.09578973054885864, 0.16402527689933777, -0.24069827795028687, 0.23744267225265503, 0.15979614853858948, 0.044108957052230835, 0.1640426218509674, 0.13511969149112701, 0.07363365590572357, 0.01786492019891739, 0.025719713419675827, -0.18714922666549683, -0.06150323525071144, -0.010170088149607182, -0.037801194936037064, 0.14727644622325897, 0.08560571074485779]
4	10135005	[-0.1549033522605896, 0.05709444731473923, 0.02322302758693695, -0.0742850974202156, 0.00028699322137981653, -0.060449711978435516, 0.012809641659259796, -0.05401446297764778, 0.20361889898777008, -0.09365800768136978, 0.23169760406017303, 0.038695283234119415, -0.19009847939014435, -0.0870000496506691, -0.030158430337905884, 0.1156952977180481, -0.08060915768146515, -0.115915447473526, -0.09991729259490967, -0.06511759757995605, -0.03454296290874481, -0.020391399040818214, 0.03940080478787422, 0.04267086461186409, -0.11632497608661652, -0.349567174911499, -0.07481318712234497, -0.09905127435922623, 0.048137158155441284, -0.07576516270637512, 0.04672326520085335, -0.008595041930675507, -0.20126666128635406, -0.07134508341550827, -0.024651307612657547, 0.0744158923625946, -0.07210642099380493, 0.01806872896850109, 0.2500884532928467, 0.09128176420927048, -0.1340579390525818, -0.05779732018709183, -0.030908240005373955, 0.33198294043540955, 0.1483253389596939, 0.04480946809053421, 0.05224951356649399, -0.03971493989229202, 0.026056095957756042, -0.2819901704788208, 0.10380341112613678, 0.04384102672338486, 0.08418603986501694, 0.004837052430957556, 0.10834689438343048, -0.15701954066753387, 0.009538084268569946, 0.11112882196903229, -0.21870958805084229, 0.14470894634723663, 0.023194603621959686, -0.08519232273101807, -0.1271359771490097, -0.010253199376165867, 0.30700626969337463, 0.16683752834796906, -0.08943361043930054, -0.09534189850091934, 0.3080116808414459, -0.117947056889534, 0.041180387139320374, 0.056091077625751495, -0.026809917762875557, -0.1823521852493286, -0.22712314128875732, 0.09128540009260178, 0.37217414379119873, 0.20233973860740662, -0.1637023240327835, 0.029104016721248627, -0.1149793341755867, 0.017060084268450737, 0.07765401899814606, 0.01196245290338993, -0.11123094707727432, 0.026872634887695312, -0.07155925780534744, 0.01979348063468933, 0.1188039779663086, 0.06525004655122757, -0.08051484078168869, 0.18876135349273682, -0.0190550796687603, 0.019090626388788223, 0.07105471938848495, -0.05377919599413872, -0.11421887576580048, -0.01662575826048851, -0.1720016747713089, -0.06978930532932281, 0.1179710403084755, -0.08183850347995758, 0.08986371010541916, 0.1075415164232254, -0.13865192234516144, 0.14518170058727264, -0.01041075773537159, -0.04102155566215515, 0.05711100623011589, 0.12255549430847168, -0.1048990786075592, -0.0785612091422081, 0.1530357450246811, -0.21856635808944702, 0.2522982656955719, 0.1510924994945526, 0.0333823561668396, 0.14821383357048035, 0.11479820311069489, 0.05309917777776718, 0.026236824691295624, 0.01947256550192833, -0.15824083983898163, -0.018829345703125, -0.010243509896099567, -0.048941683024168015, 0.1284882128238678, 0.07456081360578537]
5	10135005	[-0.1570562720298767, 0.04262465983629227, 0.007992823608219624, -0.06783518195152283, -0.0005557495169341564, -0.05321865901350975, 0.007483270019292831, -0.07416565716266632, 0.1777079552412033, -0.08644792437553406, 0.1809496283531189, 0.037843938916921616, -0.22094622254371643, -0.10285168886184692, -0.02294307015836239, 0.11768797039985657, -0.09739801287651062, -0.12636831402778625, -0.1331762671470642, -0.07463555037975311, -0.038477446883916855, -0.011986267752945423, 0.08917958289384842, 0.02606499195098877, -0.15589022636413574, -0.3624643385410309, -0.078220434486866, -0.0958765298128128, 0.026783661916851997, -0.051456253975629807, 0.025193164125084877, -0.0006693903123959899, -0.1967371553182602, -0.05463354289531708, -0.02500322461128235, 0.08233747631311417, -0.0625203549861908, 0.006315874867141247, 0.2348106950521469, 0.07469892501831055, -0.16249537467956543, -0.02888612635433674, -0.04947759211063385, 0.30170777440071106, 0.1743616908788681, 0.06282790750265121, 0.050830110907554626, -0.04578892141580582, 0.03734441474080086, -0.27481016516685486, 0.08436910808086395, 0.056074321269989014, 0.047649674117565155, -0.016311556100845337, 0.08089783787727356, -0.14570197463035583, 0.015213469043374062, 0.12925729155540466, -0.22494640946388245, 0.10360479354858398, -0.011771559715270996, -0.10865546762943268, -0.10596641898155212, -0.0031437946017831564, 0.26014411449432373, 0.1736244410276413, -0.09052615612745285, -0.08066052943468094, 0.29516929388046265, -0.14438995718955994, 0.04430297017097473, 0.035562269389629364, -0.03990847244858742, -0.19673611223697662, -0.26587432622909546, 0.0481300950050354, 0.3736264705657959, 0.19203874468803406, -0.1585041582584381, 0.02303973212838173, -0.09273258596658707, 0.0452447272837162, 0.10150939226150513, 0.023566659539937973, -0.14603793621063232, 0.027523037046194077, -0.08676058053970337, 0.01912168227136135, 0.14618808031082153, 0.051631778478622437, -0.11237036436796188, 0.18887633085250854, 0.003008149564266205, 0.040204696357250214, 0.094638392329216, -0.029262319207191467, -0.09703852981328964, -0.02992979623377323, -0.1707388460636139, -0.03874094784259796, 0.12688541412353516, -0.09134171158075333, 0.07681657373905182, 0.0966881588101387, -0.11495314538478851, 0.1478385329246521, -0.0013292490039020777, -0.03992805629968643, 0.04169938713312149, 0.09575383365154266, -0.10184071958065033, -0.07123944908380508, 0.15130484104156494, -0.21675023436546326, 0.24428147077560425, 0.2046324908733368, 0.018678298220038414, 0.16764362156391144, 0.12063154578208923, 0.03660346940159798, -0.002984641119837761, 0.03749246895313263, -0.16428281366825104, -0.04000525549054146, 0.028063029050827026, -0.034409523010253906, 0.1611909419298172, 0.08167627453804016]
6	10135005	[-0.14637695252895355, 0.0724470391869545, 0.023502126336097717, -0.08381523936986923, -0.00091730454005301, -0.04019135609269142, -0.009261135011911392, -0.07588548213243484, 0.20177382230758667, -0.10481757670640945, 0.2254941165447235, 0.03393549099564552, -0.21636131405830383, -0.07114896178245544, -0.03261299058794975, 0.11696482449769974, -0.08368700742721558, -0.11948011815547943, -0.09109936654567719, -0.0562637522816658, -0.0300301406532526, -0.01861437037587166, 0.029415171593427658, 0.029313957318663597, -0.11411362141370773, -0.3443341851234436, -0.07567517459392548, -0.07266173511743546, 0.06190783903002739, -0.07608427852392197, 0.028264671564102173, -0.0010870746336877346, -0.1957252025604248, -0.04626970738172531, -0.01675667241215706, 0.1026613637804985, -0.05090511962771416, 0.028902627527713776, 0.23825415968894958, 0.09474419802427292, -0.1577598750591278, -0.04268727824091911, -0.038407523185014725, 0.33260801434516907, 0.14219878613948822, 0.056565798819065094, 0.04858744889497757, -0.06551932543516159, 0.017203141003847122, -0.24956366419792175, 0.10912854969501495, 0.06271420419216156, 0.07780952006578445, -0.014137347228825092, 0.09912781417369843, -0.193386971950531, 0.0006158985197544098, 0.11220700293779373, -0.2148657590150833, 0.14789032936096191, 0.049758702516555786, -0.09898345172405243, -0.11235503852367401, -0.0173032246530056, 0.293116956949234, 0.15670716762542725, -0.10538997501134872, -0.10167199373245239, 0.28855493664741516, -0.11186783760786057, 0.05439808964729309, 0.059757333248853683, -0.033695824444293976, -0.1787470579147339, -0.23319315910339355, 0.06972058862447739, 0.3807269334793091, 0.1936718076467514, -0.1710188388824463, 0.028973348438739777, -0.10251247137784958, 0.008377710357308388, 0.10428497940301895, 0.034555286169052124, -0.11398709565401077, 0.034800752997398376, -0.08204289525747299, 0.024911735206842422, 0.12219008058309555, 0.06921868026256561, -0.06925754994153976, 0.1846490502357483, -0.03462698310613632, 0.022763339802622795, 0.0508023202419281, -0.03047376312315464, -0.1385338306427002, -0.021953580901026726, -0.16378389298915863, -0.09442801773548126, 0.1071331650018692, -0.09760349988937378, 0.09029486775398254, 0.11940320581197739, -0.14709123969078064, 0.1466040015220642, -0.0016677984967827797, -0.026061607524752617, 0.060419097542762756, 0.1169891282916069, -0.08769026398658752, -0.07218323647975922, 0.16648973524570465, -0.23069408535957336, 0.24568741023540497, 0.16136382520198822, 0.031732283532619476, 0.141188845038414, 0.13242682814598083, 0.06537119299173355, 0.02385004237294197, 0.012249624356627464, -0.16771894693374634, -0.018636640161275864, -0.02896072342991829, -0.05529028922319412, 0.1540103405714035, 0.07368650287389755]
7	10135005	[-0.13851818442344666, 0.06743995100259781, -0.004304856061935425, -0.06896602362394333, -0.004544916562736034, -0.046064428985118866, -0.05174124240875244, -0.08644496649503708, 0.1663694530725479, -0.06770040839910507, 0.16283893585205078, 0.009744642302393913, -0.24603590369224548, -0.0779796913266182, -0.03863026574254036, 0.12351801246404648, -0.09563476592302322, -0.12135574221611023, -0.10590998083353043, -0.08948823809623718, -0.04793053865432739, 0.013746008276939392, 0.06373053789138794, 0.016632160171866417, -0.138304203748703, -0.34944087266921997, -0.0682574212551117, -0.08828204870223999, 0.03243675455451012, -0.039173804223537445, 0.0010205693542957306, -0.015164555981755257, -0.19541819393634796, -0.0545731820166111, 0.016874168068170547, 0.09529223293066025, -0.06508588045835495, 0.007908735424280167, 0.24346640706062317, 0.08319591730833054, -0.14099723100662231, -0.06100129336118698, -0.019096756353974342, 0.2887748181819916, 0.1475590318441391, 0.08733741194009781, 0.06333966553211212, -0.08331160247325897, 0.02495483309030533, -0.24835874140262604, 0.07407134771347046, 0.08515549451112747, 0.04487388953566551, -0.004844761453568935, 0.08563926815986633, -0.164646714925766, 0.017782459035515785, 0.08261464536190033, -0.21438704431056976, 0.08750183880329132, 0.04042685404419899, -0.10079865902662277, -0.12080073356628418, -0.026158245280385017, 0.29351136088371277, 0.14933739602565765, -0.08879822492599487, -0.1003972664475441, 0.3017237186431885, -0.14224296808242798, 0.019926762208342552, 0.041352927684783936, -0.002279824810102582, -0.16932600736618042, -0.27371108531951904, 0.03537136688828468, 0.3740760087966919, 0.19471903145313263, -0.15277206897735596, 0.030399326235055923, -0.07650500535964966, 0.00379758607596159, 0.09593012183904648, 0.01790151558816433, -0.15823277831077576, 0.05569760873913765, -0.07997532933950424, 0.024281095713377, 0.15725433826446533, 0.04220731556415558, -0.07373805344104767, 0.1439933329820633, 0.003343142569065094, 0.05685482174158096, 0.09298170357942581, 0.0037310337647795677, -0.1360282599925995, -0.036129679530858994, -0.16166600584983826, -0.049842868000268936, 0.1484728753566742, -0.08138319104909897, 0.11144374310970306, 0.12582598626613617, -0.10917560756206512, 0.1497109830379486, -0.018867451697587967, -0.08502863347530365, 0.023323655128479004, 0.09932629764080048, -0.08648301661014557, -0.07323361188173294, 0.1635393500328064, -0.21267282962799072, 0.22035284340381622, 0.16503340005874634, 0.019557230174541473, 0.15513330698013306, 0.11688560247421265, 0.07121677696704865, -0.024943582713603973, 0.030677534639835358, -0.17285208404064178, -0.08615011721849442, -0.013379286974668503, -0.02725299820303917, 0.1676834672689438, 0.08511151373386383]
8	10135005	[-0.1307392120361328, 0.06546860188245773, 0.021954279392957687, -0.053995437920093536, -0.0009737251093611121, -0.03950357809662819, -0.022493448108434677, -0.08101728558540344, 0.19431130588054657, -0.08462575078010559, 0.18875452876091003, 0.03558611124753952, -0.2269008904695511, -0.08613312989473343, -0.0217832513153553, 0.10557283461093903, -0.07737071812152863, -0.11352408677339554, -0.11712250113487244, -0.06419592350721359, -0.031451787799596786, 0.009656921960413456, 0.07907526195049286, 0.0009110993705689907, -0.14464984834194183, -0.35290735960006714, -0.06326279044151306, -0.07011117041110992, 0.02327912300825119, -0.058162569999694824, -0.0028123678639531136, -0.007510235533118248, -0.1973816305398941, -0.04993811622262001, -0.0032142382115125656, 0.10876752436161041, -0.05025250092148781, 0.015740476548671722, 0.20849338173866272, 0.07676610350608826, -0.1732534021139145, -0.05557071790099144, -0.04620226100087166, 0.29276785254478455, 0.1651376336812973, 0.09043540805578232, 0.044278811663389206, -0.09156885743141174, 0.020461466163396835, -0.24999620020389557, 0.11039239913225174, 0.06212899461388588, 0.04274677112698555, -0.03117014840245247, 0.08840633183717728, -0.15543390810489655, 0.001931590959429741, 0.0861114114522934, -0.20474810898303986, 0.08050491660833359, 0.045093148946762085, -0.09449630975723267, -0.12521380186080933, -0.02665388211607933, 0.2730439305305481, 0.16600751876831055, -0.08738260716199875, -0.09973067045211792, 0.2926822602748871, -0.14472649991512299, 0.009432467631995678, 0.0383998267352581, -0.01275126077234745, -0.18474528193473816, -0.26690635085105896, 0.03764237463474274, 0.41193151473999023, 0.18433958292007446, -0.17304588854312897, 0.031197184696793556, -0.08951909095048904, 0.018970724195241928, 0.11387990415096283, 0.04113270342350006, -0.13299567997455597, 0.05807055905461311, -0.0861913338303566, 0.025064922869205475, 0.16281534731388092, 0.039240024983882904, -0.09377910941839218, 0.16302764415740967, -0.0033276155591011047, 0.03892211988568306, 0.08421364426612854, -0.023396089673042297, -0.10146914422512054, 0.0016852021217346191, -0.17927804589271545, -0.06539613008499146, 0.14607703685760498, -0.07729444652795792, 0.0848560780286789, 0.11897379904985428, -0.13779090344905853, 0.16148464381694794, 0.009797506034374237, -0.059548743069171906, 0.08356033265590668, 0.08716507256031036, -0.09263861179351807, -0.08314841985702515, 0.15890589356422424, -0.23707588016986847, 0.22335514426231384, 0.16841302812099457, 0.039066702127456665, 0.1675829440355301, 0.11469032615423203, 0.08486808836460114, 0.023360494524240494, 0.03344513475894928, -0.18748188018798828, -0.058614421635866165, -0.006606556475162506, -0.034873202443122864, 0.15912385284900665, 0.09214606136083603]
9	10135005	[-0.14023281633853912, 0.058659251779317856, 0.027730543166399002, -0.07670359313488007, -0.01380753144621849, -0.018527094274759293, -0.02686307206749916, -0.04940345883369446, 0.179249107837677, -0.09408872574567795, 0.2093406766653061, 0.045544590801000595, -0.2340301275253296, -0.06218467280268669, -0.04643465578556061, 0.10440856963396072, -0.08307934552431107, -0.09039920568466187, -0.10966160893440247, -0.04841134697198868, -0.02160993218421936, 0.007850300520658493, 0.05662829428911209, 0.017523448914289474, -0.11139300465583801, -0.3216134309768677, -0.054041340947151184, -0.07156452536582947, 0.04072023555636406, -0.08354809880256653, 0.02243398129940033, -0.036273859441280365, -0.18979313969612122, -0.0496409572660923, -0.009707866236567497, 0.12299133092164993, -0.06994354724884033, -0.0005437936633825302, 0.21614086627960205, 0.09352707117795944, -0.1542251706123352, -0.042223796248435974, -0.052636854350566864, 0.3229931592941284, 0.1298195868730545, 0.0742117390036583, 0.04529101401567459, -0.09399834275245667, 0.027929633855819702, -0.2667829692363739, 0.12588222324848175, 0.0704282745718956, 0.07783320546150208, -0.015769997611641884, 0.08857938647270203, -0.1694951355457306, 0.015255475416779518, 0.10383183509111404, -0.22296230494976044, 0.12332229316234589, 0.06655315309762955, -0.04133984446525574, -0.1072397455573082, -0.04864161089062691, 0.2862706184387207, 0.17472606897354126, -0.12804251909255981, -0.11990167200565338, 0.2706000506877899, -0.13478314876556396, 0.019385814666748047, 0.07025904953479767, -0.03197206184267998, -0.18209129571914673, -0.24425674974918365, 0.062242116779088974, 0.3862426280975342, 0.18750658631324768, -0.15860313177108765, -0.014078022912144661, -0.11556734889745712, 0.014629305340349674, 0.08706290274858475, 0.0399000383913517, -0.11768556386232376, 0.04190075024962425, -0.05534738674759865, 0.017201099544763565, 0.13623732328414917, 0.04729054495692253, -0.1047041043639183, 0.1670602262020111, 0.005695135332643986, 0.000671161338686943, 0.06146026402711868, -0.0221138633787632, -0.1125234067440033, -0.008983963169157505, -0.16879379749298096, -0.05599232763051987, 0.09929541498422623, -0.1137557104229927, 0.08599640429019928, 0.11369884014129639, -0.13562940061092377, 0.15383405983448029, -0.0030265431851148605, -0.05583411827683449, 0.08950844407081604, 0.10765539854764938, -0.1494234800338745, -0.08941470086574554, 0.18201994895935059, -0.25485676527023315, 0.24860423803329468, 0.17345616221427917, 0.07556651532649994, 0.12854821979999542, 0.137667715549469, 0.09552343934774399, 0.028834737837314606, 0.040916189551353455, -0.16027720272541046, -0.051744911819696426, -0.02868526428937912, -0.045583177357912064, 0.14220038056373596, 0.06739059835672379]
